# Messier catalog config file for astronopy
# Objects are sorted by RA
# types
# 1=Open Cluster
# 2=Globular Cluster
# 3=Planetary Nebula
# 4=Starforming Nebula (with open cluster)
# 5=Spiral Galaxy
# 6=Elliptical Galaxy
# 7=Irregular Galaxy
# 8=Lenticular (S0) Galaxy
# 9=Supernova Remnant
# A=System of 4 stars or Asterism
# B=Milky Way Patch
# C=Binary star
#id       ra         dec     type   const       NGC    distance (kLY)
M28    18:24.5:0  -24:52:0     2    Sagittarius   6626   18.6
M69    18:31.4:0  -32:21:0     2    Sagittarius   6637   28.0
M25    18:31.6:0  -19:15:0     1    Sagittarius  I4725      2
M22    18:36.4:0  -23:54:0     2    Sagittarius   6656   10.4
M70    18:43.2:0  -32:18:0     2    Sagittarius   6681   29.4
M26    18:45.2:0  -09:24:0     1    Scutum   6694      5
M11    18:51.1:0  -06:16:0     1    Scutum   6705      6
M57    18:53.6:0  +33:02:0     3    Lyra   6720    2.3
M54    18:55.1:0  -30:29:0     2    Sagittarius   6715   88.7
M56    19:16.6:0  +30:11:0     2    Lyra   6779   32.9
M55    19:40.0:0  -30:58:0     2    Sagittarius   6809   17.6
M71    19:53.8:0  +18:47:0     2    Sagitta   6838   12.7
M27    19:59.6:0  +22:43:0     3    Vulpecula   6853   1.25
M75    20:06.1:0  -21:55:0     2    Sagittarius   6864   61.3
M29    20:23.9:0  +38:32:0     1    Cygnus   6913    4.0
M72    20:53.5:0  -12:32:0     2    Aquarius   6981   55.4
M73    20:58.9:0  -12:38:0     A    Aquarius   6994    2.0
M15    21:30.0:0  +12:10:0     2    Pegasus   7078   33.6
M39    21:32.2:0  +48:26:0     1    Cygnus   7092  0.825
M2     21:33.5:0  -00:49:0     2    Aquarius   7089   37.5
M30    21:40.4:0  -23:11:0     2    Capricornus   7099   26.1
M52    23:24.2:0  +61:35:0     1    Cassiopeia   7654    5.0
